backend,tag,image,w,h,n,K,seed,iters,load_ms,seed_ms,lloyd_ms,write_ms,h2d_ms,d2h_ms
cuda,v4,data/test_1024.png,1024,1024,1048576,8,42,30,17.4995,9.8906,4.6376,1.1837,0.5646,0.3311
seq,O3,data/test_1024.png,1024,1024,1048576,16,42,30,21.2580,18.3127,473.1941,1.0667,,
cuda,v1,data/test_1024.png,1024,1024,1048576,16,42,30,22.4717,18.1765,40.4057,1.1436,0.5651,0.3279
cuda,v2,data/test_1024.png,1024,1024,1048576,16,42,30,18.6287,18.5896,40.2000,1.1406,0.5738,0.3324
cuda,v3,data/test_1024.png,1024,1024,1048576,16,42,30,20.4824,18.9188,14.2493,1.1453,0.6249,0.3377
cuda,v4,data/test_1024.png,1024,1024,1048576,16,42,30,20.9624,19.0331,6.1091,1.1813,0.5694,0.3350
seq,O3,data/test_1024.png,1024,1024,1048576,32,42,30,22.1471,37.3091,955.9967,1.2058,,
cuda,v1,data/test_1024.png,1024,1024,1048576,32,42,30,18.5842,36.1404,41.0024,1.1643,0.5646,0.3314
cuda,v2,data/test_1024.png,1024,1024,1048576,32,42,30,17.8911,36.1757,40.2908,1.2292,0.5643,0.3352
cuda,v3,data/test_1024.png,1024,1024,1048576,32,42,30,18.3175,36.1866,17.1767,1.1926,0.6069,0.3754
cuda,v4,data/test_1024.png,1024,1024,1048576,32,42,30,18.8707,36.3203,9.5827,1.1892,0.5719,0.3340
seq,O3,data/test_1024.png,1024,1024,1048576,64,42,30,18.3369,69.1479,1999.9545,1.1601,,
cuda,v1,data/test_1024.png,1024,1024,1048576,64,42,30,21.8334,69.3338,32.6308,1.1363,0.5730,0.3285
cuda,v2,data/test_1024.png,1024,1024,1048576,64,42,30,17.8172,66.9743,28.8852,1.1436,0.5689,0.3266
cuda,v3,data/test_1024.png,1024,1024,1048576,64,42,30,20.1760,67.4677,23.7568,1.1627,0.5660,0.3440
cuda,v4,data/test_1024.png,1024,1024,1048576,64,42,30,18.6726,66.6923,18.3359,1.1960,0.5620,0.3379
seq,O3,data/test_2048.png,2048,2048,4194304,4,42,26,65.7343,16.9927,522.0512,13.0481,,
cuda,v1,data/test_2048.png,2048,2048,4194304,4,42,26,64.6824,16.9658,140.9363,20.2605,1.7615,1.1308
cuda,v2,data/test_2048.png,2048,2048,4194304,4,42,26,65.6739,17.1510,140.9262,16.6124,1.7442,1.1275
cuda,v3,data/test_2048.png,2048,2048,4194304,4,42,26,66.6257,17.7792,42.1828,19.2619,1.7538,1.1358
